,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mnee_lmb_bind,LMB the binding name to change it.,ЛКМ по названию бинда для переназначивания.,,,,,,,左键该按键绑定名称以更改它。,,,,,
mnee_lmb_unbind,LMB to unbind this action.,ЛКМ для присвоения пустого бинда.,,,,,,,左键以解绑此动作。,,,,,
mnee_lmb_inputA,LMB to enable custom inputs.,ЛКМ чтобы включить ввод.,,,,,,,左键以启用自定义输入。,,,,,
mnee_lmb_inputB,LMB to disable custom inputs.,ЛКМ чтобы отключить ввод.,,,,,,,左键以禁用自定义输入。,,,,,
mnee_lmb_backup,LMB to backup all the data. @ RMB to load last backup.,ЛКМ чтобы сохранить резервную копию. @ ПКМ чтобы загрузить резервную копию.,,,,,,,左键以备份所有数据。@ 右键加载上一个备份。,,,,,
mnee_lmb_jpads,LMB to toggle controller mapping panel.,ЛКМ чтобы переключить панель контроллеров.,,,,,,,左键以开关控制器映射面版。,,,,,
mnee_lmb_map,LMB to map new controller.,ЛКМ чтобы добавить новый контроллер.,,,,,,,左键以映射新的控制器。,,,,,
mnee_rmb_unmap,RMB to remove this controller.,ПКМ чтобы убрать этот контроллер.,,,,,,,右键以移除此控制器。,,,,,
mnee_rmb_advanced,RMB to enter advanced rebinding mode.,ПКМ чтобы биндить в продвинутом режиме.,,,,,,,右键以进入高级绑定模式。,,,,,
mnee_rmb_default,RMB to set to default.,ПКМ чтобы установить стандартные настройки.,,,,,,,右键以设置为默认。,,,,,
mnee_rmb_mod,RMB to set selected mod's current profile to default.,ПКМ чтобы установить стандартные настройки для профиля текущего мода.,,,,,,,右键以设置所选模组的当前控制配置为默认。,,,,,
mnee_rmb_reset,RMB to reset all the saved M-Nee bindings.,ПКМ чтобы полностью сбросить назначенные клавиши.,,,,,,,右键以重置所有保存的M-Nee按键绑定集合。,,,,,
mnee_rmb_scanA,RMB to enable automatic detection.,ПКМ чтобы включить автоматическое обнаружение.,,,,,,,右键以启用自动检测。,,,,,
mnee_rmb_scanB,RMB to disable automatic detection.,ПКМ чтобы отключить автоматическое обнаружение.,,,,,,,右键以禁用自动检测。,,,,,
