,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mnee_living,Disable Internal Deadzones,Отключить Постоянные Мёртвые Зоны,,,,,,,,,,,,
mnee_living_desc,"Enabling this will remove all the default developer-defined deadzones, only leaving user-accessible ones (can be changed right below).","При активации уберёт все заданные разработчиками мёртвые зоны, останутся только доступные игроку опции (которые могут быть изменены снизу).",,,,,,,,,,,,
mnee_deadzone,Analog Stick Deadzone,Мёртвая Зона Геймпада,,,,,,,,,,,,
mnee_deadzone_desc,Controls the radius of the zone near the rest position where the inputs do not count.,"Изменяет радиус зоны около позиции покоя, где ввод не считывается.",,,,,,,,,,,,
mnee_autoaim,Aim Assist Strength,Степень Помощи в Прицеливании,,,,,,,,,,,,
mnee_autoaim_desc,Controls the degree to which you aim will be offsetted by aim assisting algorithm.,Изменяет степень отконения перекрестья алгоритмом помощи в прицеливании.,,,,,,,,,,,,
mnee_reset,Complete Reset,Полный Сброс,,,,,,,完全重置,,,,,
mnee_alt_help,"For the secondary bindings, seek a button at the top right corner of this window.","Для дополнительных биндов, ищи кнопку в верхнем правом углу этого окна.",,,,,,,,,,,,
mnee_doit,do it,давай,,,,,,,确认,,,,,
mnee_lmb_keys,LMB to open the bindings.,ЛКМ чтобы показать бинды.,,,,,,,左键以开启该按键绑定集合。,,,,,
mnee_lmb_axis,LMB to bind analog sticks. RMB to bind buttons.,ЛКМ чтобы назначить джойстик. ПКМ чтобы назначить клавиши.,,,,,,,左键以绑定模拟摇杆。右键以绑定按钮。,,,,,
mnee_lmb_bind,LMB the binding name to change it.,ЛКМ по названию бинда для переназначения.,,,,,,,左键该按键绑定名称以更改它。,,,,,
mnee_lmb_unbind,LMB to unbind this action.,ЛКМ для присвоения пустого бинда.,,,,,,,左键以解绑此动作。,,,,,
mnee_lmb_inputA,LMB to enable custom inputs.,ЛКМ чтобы включить ввод.,,,,,,,左键以启用自定义输入。,,,,,
mnee_lmb_inputB,LMB to disable custom inputs.,ЛКМ чтобы отключить ввод.,,,,,,,左键以禁用自定义输入。,,,,,
mnee_lmb_backup,LMB to backup all the data. @ RMB to load last backup.,ЛКМ чтобы сохранить резервную копию. @ ПКМ чтобы загрузить резервную копию.,,,,,,,左键以备份所有数据。@ 右键加载上一个备份。,,,,,
mnee_lmb_jpads,LMB to toggle controller mapping panel.,ЛКМ чтобы переключить панель контроллеров.,,,,,,,左键以开关控制器映射面版。,,,,,
mnee_lmb_setups,LMB to toggle keygroup setup panel.,ЛКМ чтобы переключить панель конфигураций.,,,,,,,,,,,,
mnee_lmb_map,LMB to map new controller.,ЛКМ чтобы добавить новый контроллер.,,,,,,,左键以映射新的控制器。,,,,,
mnee_lmb_unmap,LMB to remove this controller.,ЛКМ чтобы убрать этот контроллер.,,,,,,,右键以移除此控制器。,,,,,
mnee_rmb_dummy,RMB to map dummy instead.,ЛКМ чтобы добавить контроллер-фикцию.,,,,,,,,,,,,
mnee_rmb_advanced,RMB to enter advanced rebinding mode.,ПКМ чтобы переназначивать в продвинутом режиме.,,,,,,,右键以进入高级绑定模式。,,,,,
mnee_rmb_default,RMB to set to default.,ПКМ чтобы установить стандартные настройки.,,,,,,,右键以设置为默认。,,,,,
mnee_rmb_mod,RMB to set selected mod's current profile to default.,ПКМ чтобы установить стандартные настройки для профиля текущего мода.,,,,,,,右键以设置所选模组的当前控制配置为默认。,,,,,
mnee_rmb_reset,RMB to reset all the saved M-Nee bindings.,ПКМ чтобы полностью сбросить назначенные клавиши.,,,,,,,右键以重置所有保存的M-Nee按键绑定集合。,,,,,
mnee_rmb_scanA,RMB to enable automatic detection.,ПКМ чтобы включить автоматическое обнаружение.,,,,,,,右键以启用自动检测。,,,,,
mnee_rmb_scanB,RMB to disable automatic detection.,ПКМ чтобы отключить автоматическое обнаружение.,,,,,,,右键以禁用自动检测。,,,,,
mnee_rmb_cancel,RMB to cancel rebinding.,ПКМ чтобы отменить переназначение.,,,,,,,,,,,,
mnee_rmb_unbind,Secondary binding detected. Primary will be replaced with it upon proceeding. @ RMB to unbind this action fully.,Дополнительный бинд обнаружен. Основной бинд будет заменён на него при продолжении. @ ПКМ чтобы полностью обнулить это действие.,,,,,,,,,,,,
